jeton_3.6.10.11	nom_propose	fiabilite_du_nom	signification_mesuree	fiabilite_du_jeton	direction	handler	forme_capturee	origen_jondo	source
jss	MapComplementaryInformationsDataMessage	PROPOSÉ	Los actores del mapa; f6 (subarea) es obligatorio o el cliente revienta en MapInfoUI.SetInfoFromSubarea. El tipo de actor lo da el campo presente dentro de f2.f1: f5 jugador, f7 PNJ, f4 grupo de monstruos, con ids contextuales negativos para PNJs y grupos.	FIABLE	S2C	BuildMapActors	f2: map id, f6: subarea id, f5 (rep) { f1 { f1: cell, f2: facing }, f2 {...what it is...}, f3: contextual id }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jte			Se responde con una trama jto hardcodeada. No aparece en ninguna captura.	FIABLE	C2S	GameNodeProxy		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jtg	GiftsListMessage	PROPOSÉ	Catalogo de regalos de la cuenta; se envia vacio porque nuestras cuentas no tienen ninguno.	FIABLE	S2C	BuildGiftCatalogue	f3 (rep) { f1 { f2: name, f3 {...item...}, f6 {...description...} }, f2: id }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jti			Combate. 1275 mensajes, 22 ficheros.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jtn			Combate; el opcode mas frecuente de todo el conjunto: 14728 mensajes en los 23 ficheros que contienen un combate.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jto			Lo envia el servidor y el cliente nunca; el emulador lo tiene en la rama de lista de personajes, a la que solo llega kpa. 7324 mensajes en 23 ficheros.	FIABLE	S2C	GameNodeProxy character-list branch		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jwe			Lo envia el servidor pero el emulador lo usa como disparador de cliente. 9463 mensajes en 23 ficheros.	FIABLE	S2C	FightHandler dispatch		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jwh			Combate. 431 mensajes, 19 ficheros.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jwi			Combate. 7324 mensajes, 23 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jwj			No implementado. Exclusivo de las capturas de tienda (Tienda); 13 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jwm			Direccion invertida en el emulador: lo construye como mensaje de servidor pero lo envia el cliente. 7 mensajes en 1 fichero.	FIABLE	C2S	FightHandler builds it as a server message		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jwz			Combate. 513 mensajes, 23 ficheros.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jxc			Combate. 739 mensajes, 23 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jxh			Combate. 514 mensajes, 23 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jxm			Combate. 6556 mensajes, 23 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jxs			No implementado. Exclusivo de las capturas de mazmorras (Mazmorras); 1 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jxw			Lo envia el servidor pero el emulador lo usa como disparador de cliente. 4933 mensajes en 23 ficheros.	FIABLE	S2C	FightHandler dispatch		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jxx			Despacho de combate antiguo (3.6.4.3). No aparece en ninguna captura.	FIABLE	C2S	FightHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jya			Solo alcanzable desde el despacho de combate muerto. 3962 mensajes en 20 ficheros.	FIABLE	S2C	FightHandler emits it		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jyg			Solo alcanzable desde el despacho de combate muerto. 36 mensajes en 22 ficheros.	FIABLE	S2C	FightHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jyj			Solo alcanzable desde el despacho de combate muerto. 178 mensajes en 21 ficheros.	FIABLE	S2C	FightHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jyt			Combate. 503 mensajes, 20 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jzc			Combate. 538 mensajes, 23 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
jzw			No implementado. Exclusivo de las capturas de busqueda de grupo (Busqueda grupo); 12 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kci	ExchangeStartedStorageMessage	PROPOSÉ	El cofre se abre; los dos valores son constantes en la captura y el 100 parece el numero de huecos.	FIABLE	S2C	BuildStorageOpened	f1: 100, f3: 4	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kcj			No implementado. Exclusivo de las capturas de oficios (Oficios); 114 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kcr	ExchangeObjectMoveMessage	PROPOSÉ	Mover un objeto del cofre; la direccion no viaja, se deduce de donde esta el objeto. f1 llega como -1 cuando se arrastra la pila entera.	FIABLE	C2S	ChestHandler.MoveAsync	f1: quantity, f2: uid	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kcu			No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 4 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kdb			No implementado. Exclusivo de las capturas de oficios (Oficios); 114 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kdx			Lo envia el cliente (10 veces en 1 fichero) pero el emulador lo construye como mensaje de servidor y nunca lo llama. El fichero de mapeos lo llama AccountCapabilitiesMessage, y eso es falso.	FIABLE	C2S	BuildKdxMessage		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
keq			No implementado. Exclusivo de las capturas de intercambio (Intercambio); 4 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ket			No implementado. Exclusivo de las capturas de intercambio (Intercambio); 5 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kfz			No implementado. Exclusivo de las capturas de intercambio (Intercambio); 3 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kgl			No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 12 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kgp			No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 9 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
khd	ExchangeLeaveMessage	PROPOSÉ	El cofre se cerro.	FIABLE	S2C	BuildStorageClosed	f3: 11	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
khu			No implementado. Exclusivo de las capturas de casas (Casas); 4 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
khv			No implementado. Exclusivo de las capturas de casas (Casas); 4 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kia			No implementado. Exclusivo de las capturas de casas (Casas); 4 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kjl			Lo envia el servidor pero NpcHandler lo despacha como peticion de cliente. 1 mensaje en 1 fichero.	FIABLE	S2C	NpcHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kkm			Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama kkn)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kkr			Peticion de carga de mapa antigua (3.6.4.3). No aparece en ninguna captura.	FIABLE	C2S	MapLoadHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kku			Solo alcanzable desde isi, que nunca llega. 2 mensajes en 2 ficheros.	FIABLE	S2C	InventoryHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kla	LeaveDialogRequestMessage	PROPOSÉ	El boton de cerrar el dialogo; vacio, y el cliente espera: la ventana no se cierra hasta que lo dice el servidor.	FIABLE	C2S	GameNodeProxy -> chest or zaap	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kld	LeaveDialogMessage	PROPOSÉ	Cierra el dialogo; el cliente no cierra la ventana del zaap por si mismo. f1 es un motivo fijo, no algo que calcular.	FIABLE	S2C	BuildDialogClosed	f1: 10	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
klp			Parte de la rafaga final de 3.6.4.3 que dispara ibt (icg se envia tres veces). No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama ibt)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kmb			Sale con jsn cuando se guarda un look; medidos 49 kmb estando montado y ninguno sin montura. No se envia: los cambios de look llegan igual por jsn. 172 mensajes, 62 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kmk			Combate. 264 mensajes, 22 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kmr			En la linea temporal de entrada al mundo, el servidor le contesta con 11 tramas, entre ellas jru (el mapa).	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kmu			Presente en 25 de las 31 carpetas de captura (399 mensajes, 90 ficheros). Nada establecido.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kmv			Llega con jrh en cada carga de mapa y no espera nada de vuelta; el emulador ya lo ignora en silencio. 727 mensajes, 88 ficheros.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
knm			Junto con kno y kny es lo que el cliente reenvia unos dos segundos despues cuando no le llego lva y no da el mapa por cargado.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kno			Junto con knm y kny es lo que el cliente reenvia unos dos segundos despues cuando no le llego lva y no da el mapa por cargado.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kns			La respuesta al ping kod de 3.6.4.3. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kny			Junto con knm y kno es lo que el cliente reenvia unos dos segundos despues cuando no le llego lva y no da el mapa por cargado.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kod			El ping de 3.6.4.3, respondido con kns. Sustituido por kqo/kqy. No aparece en ninguna captura.	FIABLE	C2S	GameNodeProxy		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
koj			Veinte cuentas Ankama con id, apodo y tag; se reconoce y se descarta por privacidad. El builder no se llama nunca. El fichero de mapeos lo llama HavenBagStatusMessage, y eso es falso. 28 mensajes en 7 ficheros.	FIABLE	S2C	BuildKojMessage, WorldEntry.NotReplayed	f2 { f2: account id, f4 { f1: nickname, f2: tag }, f5: 3 }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kpa	CharactersListRequestMessage	PROPOSÉ	Peticion de la lista de personajes; se despacha, pero solo se ve una vez en 242 capturas.	FIABLE	C2S	CharacterSelectionHandler.HandleCharacterListRequest	-	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqg	ContactsListMessage	PROPOSÉ	La lista de contactos de la cuenta grabada; se reconoce por opcode y se descarta. 28 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqm			La lista que envia la rama hmv de 3.6.4.3, junto con hnk. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama hmv)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqo	BasicPingMessage	PROPOSÉ	El latido, cada cinco segundos mientras el cliente esta en el mundo; el mensaje de cliente mas frecuente, en 235 de los 242 ficheros. El fichero de mapeos lo llama ChatChannelsReadMessage, y eso es falso.	FIABLE	C2S	GameNodeProxy	-	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqp			Se envia tres veces seguidas con tres cargas distintas; significado no establecido.	FIABLE	S2C	BuildWelcomeBurst	f1:1, f2:1 then f1:1 then empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqq	LogoutRequestMessage	PROPOSÉ	El cliente vuelve a la pantalla de personaje o de servidor.	FIABLE	C2S	GameNodeProxy	-	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqr	LogoutResultMessage	PROPOSÉ	Respuesta a kqq; despues el cliente cierra la conexion el mismo y rehace el handshake.	FIABLE	S2C	GameNodeProxy.BuildKqrPayload	f1: session guid, f4: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqu	ServerOptionalFeaturesMessage	PROPOSÉ	Funcionalidades habilitadas en el servidor, como ids opacos copiados de la captura. NO es una peticion de lista de personajes.	FIABLE	S2C	BuildWelcomeBurst	f1: packed [3, 7, 13, 20, 23, 105, 124, 125, 126, 136, 143, 145, 150]	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqy	BasicPongMessage	PROPOSÉ	La respuesta al latido, y nada mas; viaja en el campo raiz 1, no en el de respuesta.	FIABLE	S2C	BuildHeartbeatAnswer	f1: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kqz	AuthenticationTicketMessage	PROPOSÉ	Presenta el ticket de un solo uso; vincula la sesion a una cuenta y a un servidor, y un ticket desconocido cierra la conexion.	FIABLE	C2S	GameNodeProxy.HandleTicketPresentation	f2: ticket	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kra	AuthenticationTicketAcceptedMessage	PROPOSÉ	Abre la rafaga de bienvenida.	FIABLE	S2C	ConnectionProtocol.BuildWelcomeBurst	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
krc			Subida de caracteristicas antigua (3.6.4.3), sustituida por kum. No aparece en ninguna captura.	FIABLE	C2S	StatsHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kri			Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama kkn)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
krl			Lleva id de peticion real en 14 peticiones.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kro			Lleva id de peticion real en 14 peticiones. Ojo: la cadena kro tambien es una silaba del generador de nombres aleatorios de CharacterCreationHandler, colision que no es un opcode.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
krp			Solo alcanzable desde el despacho de combate muerto. 14 mensajes en 14 ficheros.	FIABLE	S2C	FightHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
krt			Llega junto con kqz; no espera nada de vuelta.	FIABLE	C2S	GameNodeProxy (empty branch)	-	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
krv			El cliente lo envia justo tras la rafaga de bienvenida (9 veces en 8 ficheros) y lleva id de peticion real; el emulador deliberadamente no lo devuelve.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ktb			El mensaje privado (susurro): es un mensaje distinto de ktm y lleva su destinatario. No implementado. El documento no da direccion.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kti	ChatServerMessage	PROPOSÉ	La linea de vuelta. Canales: 0 general (omitido por ser cero), 1 equipo, 2 gremio, 3 alianza, 4 grupo, 5 comercio, 6 reclutamiento, y 9, 11, 16, 18, 19 para el resto.	FIABLE	S2C	BuildChatLine	f3: timestamp, f4: who, f5: character, f6: account, f7: text, f8: {}, f9: channel	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ktm	ChatClientMultiMessage	PROPOSÉ	Una linea que escribio el jugador.	FIABLE	C2S	GameNodeProxy	f2: text, f3: channel	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ktq			Once seguidos en la entrada al mundo, detras de hou.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kts			No implementado. Exclusivo de las capturas de caracteristicas (Caracteristicas); 2 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kub	CharacterStatsListMessage	PROPOSÉ	La hoja de personaje; el campo contenedor no es el mismo para cada caracteristica y equivocarlo mata la hoja entera con NullReferenceException. Se envia dos veces (con el personaje y con el mapa) y el cliente se queda con la segunda.	FIABLE	S2C	BuildCharacteristics, WorldEntry.ContainerOf	f2 { f1: where the next level starts, f7: where this one started, f8: experience held, f10: kamas, f11 (rep) { f1: id, <container> {...} } } - containers: f4 {f2: base, f3: parchments, f7: equipment} for most, f5 {f1: base, f5: bonus} for 1 and 23, f2 {f2: value} for 29, 47 and 96	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kuh	StatsResetRequestMessage	PROPOSÉ	Reiniciar caracteristicas; la captura no cobra nada por ello, asi que aqui tampoco se cobra.	FIABLE	C2S	CharacteristicsHandler.ResetAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kum	StatsUpgradeRequestMessage	PROPOSÉ	Gastar puntos de caracteristica; el valor es el total pagado, no un incremento, lo que hace el mensaje idempotente, y un total que no cabe se rechaza entero. Campos: 1 inteligencia, 2 suerte, 3 vitalidad, 4 sabiduria, 5 agilidad, 6 fuerza. Lleva id de peticion real (7 peticiones).	FIABLE	C2S	CharacteristicsHandler.SpendAsync	f1..f6: points spent in total on that characteristic	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kva	CharacterSelectedSuccessMessage	PROPOSÉ	Ya estas jugando con este personaje; sin el, el cliente se queda en la pantalla de personaje con el reloj de arena.	FIABLE	S2C	BuildCharacterSelectedSuccess	f1 { f1 { f1: details, f2: characterId } }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvb	CharacterCreationResultMessage	PROPOSÉ	Resultado de la creacion; vacio si va bien, f2 lleva el motivo del rechazo.	FIABLE	S2C	CharacterCreationHandler	empty, or f2: reason	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvc			El cliente lo envia justo tras la rafaga de bienvenida (10 veces en 9 ficheros); el emulador deliberadamente no lo devuelve.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvd	CharactersListEndMessage	PROPOSÉ	Cierra la lista de personajes; vacio, justo detras de kvi en la rafaga real. Candidato principal a la causa del boton de crear personaje muerto.	FIABLE	S2C	BuildWelcomeBurst	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvi	CharactersListMessage	PROPOSÉ	Los personajes de la cuenta en el servidor elegido.	FIABLE	S2C	BuildCharactersList	f1 (rep) { f1 { f2: name, f3: level, f4 { f2 { f3: sex } }, f6: look, f7: breed }, f2: characterId }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvk	CharacterNameSuggestionSuccessMessage	PROPOSÉ	Un nombre de personaje sugerido (el boton del dado).	FIABLE	S2C	CharacterCreationHandler.SuggestNameAsync	f1: name	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvl	CharacterFirstSelectionMessage	PROPOSÉ	El mismo paso justo despues de una creacion con exito: el cliente envia kvl detras de kvi y entra al mundo sin pasar por la lista.	FIABLE	C2S	CharacterSelectionHandler	read for character id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvw	CharacterSelectionMessage	PROPOSÉ	Seleccionar un personaje; el id se comprueba contra la cuenta de la sesion porque lo elige el cliente y no es de fiar.	FIABLE	C2S	CharacterSelectionHandler	read for character id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kvz	CharacterCreationRequestMessage	PROPOSÉ	Crear un personaje.	FIABLE	C2S	CharacterCreationHandler.CreateAsync	read for name, breed, sex, look	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kwb			No implementado. Exclusivo de las capturas de combate (Combate, mas alla de los de 4.2); 5 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kwd			No implementado. Exclusivo de las capturas de extras de conexion; 8 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
kxh			Lleva id de peticion real en 4 peticiones.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lad			Respuesta que devuelve un id de peticion real (4 respuestas).	FIABLE	S2C_f3			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
loy			Rama de 3.6.4.3: envia tramas lok y jdj hardcodeadas. No aparece en ninguna de las 242 capturas.	FIABLE	C2S	GameNodeProxy		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lpe			Lo que envia la rama lpj de 3.6.4.3. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama lpj)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lpj			Rama de 3.6.4.3: envia lpe. No aparece en ninguna de las 242 capturas.	FIABLE	C2S	GameNodeProxy		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqc	GameContextCreateRequestMessage	PROPOSÉ	Bloque 1 digerido: el servidor real espera esto antes de enviar el bloque 2.	FIABLE	C2S	GameNodeProxy	-	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqe			No implementado. Exclusivo de las capturas de amigos (Amigos); 1 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqf			Es el opcode que mas usa id de peticion real: 76 peticiones. Viaja con lqg y lqt (76 en 55 ficheros).	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqg			Viaja con lqf (C2S) y lqt; los tres juntos aparecen en 54 ficheros de 19 carpetas. 77 mensajes, 56 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqn			Va entre lqu y hjk en cada cambio de mapa capturado; su unico campo vale 197 al entrar al mundo, 24 al cambiar de mapa y 470 tras un reinicio de caracteristicas, y no hay lectura que aguante. Deliberadamente no se envia. 213 mensajes, 53 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqq			No implementado. Exclusivo de las capturas de amigos (Amigos); 1 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqt			Viaja con lqf (C2S) y lqg; los tres juntos aparecen en 54 ficheros de 19 carpetas. 76 mensajes, 55 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqu	BasicTimeMessage	PROPOSÉ	Sincronizacion de reloj; se envia tambien en cada cambio de mapa.	FIABLE	S2C	BuildWelcomeBurst, BuildMapClock	f1: 120 (sync rate), f2: server clock, unix ms	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lqw			No implementado. Exclusivo de las capturas de amigos (Amigos); 1 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lru			Cierra ese grupo de la entrada al mundo (hou, once ktq, lru).	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ltd			No implementado. Exclusivo de las capturas de combate (Combate, mas alla de los de 4.2); es una respuesta y devuelve id de peticion real (5); 5 mensajes.	FIABLE	S2C_f3			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lux			No implementado. Exclusivo de las capturas de combate (Combate, mas alla de los de 4.2); lleva id de peticion real (5); 5 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
luy			Lo envia el cliente (1 vez) pero el emulador lo construye como mensaje de servidor y el builder no se llama nunca. Lleva id de peticion real. El fichero de mapeos lo llama JobDescriptionMessage, y eso es falso.	FIABLE	C2S	InventoryHandler, BuildLuyMessage		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lva	MapLoadedMessage	PROPOSÉ	Eso es todo el listado de actores; vacio, justo detras de jss. Sin el, el cliente nunca da el mapa por cargado, espera unos dos segundos y reintenta con knm, kno y kny.	FIABLE	S2C	BuildActorsComplete	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lvb			Va entre jss y lva en la entrada al mundo.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lwm	OrnamentSelectRequestMessage	PROPOSÉ	Elegir un ornamento; un mensaje vacio significa ninguno.	FIABLE	C2S	WardrobeHandler.ChooseOrnamentAsync	f2: ornament, or empty for none	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lwx	AppearanceAuraResultMessage	PROPOSÉ	Acuse de recibo.	FIABLE	S2C_f3	AppearanceHandler	f1: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lwz	AppearanceItemWornMessage	PROPOSÉ	El hueco que eligio el servidor.	FIABLE	S2C_f3	AppearanceHandler	f1: 1, f3: slot	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxa	TitleSelectResultMessage	PROPOSÉ	Acuse de recibo.	FIABLE	S2C_f3	WardrobeHandler	f2: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxc	AppearancePreviewLookMessage	PROPOSÉ	Tu aspecto ha cambiado: la vista previa del panel, que nadie mas ve. f1 es un uuid constante en la sesion y distinto por personaje; de donde lo aprende el cliente no se ha encontrado.	FIABLE	S2C	BuildLookChanged	f1: uuid, f2: the new look	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxg	AppearanceSlotVisibilityRequestMessage	PROPOSÉ	Mostrar u ocultar lo que hay en un hueco; con f3 puesto esa piel desaparece del siguiente lxc, la prenda no se quita, deja de dibujarse.	FIABLE	C2S	AppearanceHandler.ToggleAsync	f1: slot, f3: 1 to hide	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxh	NpcDialogLeaveRequestMessage	PROPOSÉ	Salir de un dialogo; el unico mensaje de PNJ que se observa enviar al cliente 3.6.10.10.	FIABLE	C2S	NpcHandler.HandleLeaveDialogRequest	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxk	AppearanceSlotVisibilityResultMessage	PROPOSÉ	Acuse de recibo.	FIABLE	S2C_f3	AppearanceHandler	f1: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxo	AppearanceStateMessage	PROPOSÉ	El estado de la ventana; f7 es el mismo uuid que lleva la vista previa lxc y f12 su mismo look, que es como el panel sabe que la respuesta es suya.	FIABLE	S2C_f3	BuildAppearanceState	f1: 1, f3 { f3: when, f5: breed, f7: preview uuid, f8: 3, f10: title, f11: level, f12: look, f15: -1, f16: ornament, f17 (rep) { f1: slot, f2 { f2: garment } } }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxs	AppearanceSaveRequestMessage	PROPOSÉ	Guardar: aqui el borrador pasa a ser lo que se lleva puesto y el look llega al resto del mapa. El fichero de mapeos lo llama AlignmentSubAreaUpdate, y eso es falso.	FIABLE	C2S	WardrobeHandler.SaveAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lxw	AppearanceAuraRequestMessage	PROPOSÉ	El aura.	FIABLE	C2S	AppearanceHandler.AuraAsync	f2: aura	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lya			No implementado. Exclusivo de las capturas de extras de apariencia; 3 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
